Question,Category
"What is the boiling point of water?",Science
"What is the boiling point of water?",Chemistry
"What is the boiling point of water?",Physics
"What is blockchain technology?",Computer
"What is blockchain technology?",Science
"Who was Cleopatra?",History
"Who was Cleopatra?", Biology
"What is photosynthesis?", Biology
"What is photosynthesis?", Science
"What is the speed of light?" ,Science
"What is the speed of light?", Physics
"Explain the difference between HTTP and HTTPS.",Computer
"What is artificial intelligence?",Computer
"How does machine learning work?",Computer
"What is quantum mechanics?",Science
"What is quantum mechanics?",Physics
"What is photosynthesis?",Science
"How does gravity work?",Science
